Data Medicao;"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(n?ero)";"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)";"PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)";"TEMPERATURA MEDIA, MENSAL (AUT)(?C)";"VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)";"VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
Janeiro;13;207;"1009,528769";"26,358485";"8,8";"1,943531"
Fevereiro;16;"162,2";"1010,492398";"25,222813";"5,1";"1,393219"
0;5;"89,6";"1010,954167";"26,653763";"5,8";"1,81129"
Abril;14;444;"1012,992778";"23,918056";"5,1";"1,5"
Maio;16;"79,4";"1014,88871";"21,543952";"5,7";"1,576075"
Junho;18;"97,6";"1016,119306";"19,514305";"4,9";"1,336806"
Julho;10;35;"1017,171505";"21,151075";"6,8";"1,594893"
Agosto;14;"111,4";"1017,836693";"20,639247";"8,3";"1,956989"
Setembro;14;"179,2";"1016,184028";"20,459444";"6,5";"1,859167"
Outubro;18;"47,6";"1012,925269";"23,75793";"5,9";"1,963575"
Novembro;19;323;"1012,526667";"22,526667";"7,6";"1,945833"
Dezembro;17;"217,8";"1009,797037";"24,440422";7;"2,160449"
